Mandarin,English
"聚会
jùhuì","get together
jùhuì"
"推
tuī","Push
tuī"
"洛杉矶
luòshānjī","Los Angeles
luòshānjī"
"方便
fāngbiàn","Convenience
fāngbiàn"
"耳朵
ěrduo","ear
ěrduo"
"数字
shùzì","digital
shùzì"
"世纪
shìjì","century
shìjì"
"奇迹
qíjì","miracle
qíjì"
"各种
gèzhǒng","All kinds
gèzhǒng"
"窗户
chuānghu","window
chuānghu"
"罪犯
zuìfàn","criminal
zuìfàn"
"破
pò","broken
pò"
"呼叫
hūjiào","call
hūjiào"
"气
qì","gas
qì"
"仅仅
jǐnjǐn","only
jǐnjǐn"
"frank
frank","frank
frank"
"手术
shǒushù","surgery
shǒushù"
"leave
leave","leave
leave"
"说服
shuōfú","convince
shuōfú"
"john
john","john
john"
"死定了
sǐdìng le","Dead
sǐdìng le"
"清理
qīnglǐ","Clear up
qīnglǐ"
"big
big","big
big"
"宣布
xuānbù","Announce
xuānbù"
"启动
qǐdòng","start up
qǐdòng"
"能量
néngliàng","energy
néngliàng"
"分开
fēnkāi","separate
fēnkāi"
"车子
chēzi","Car
chēzi"
"室
shì","room
shì"
"ネ
ネ","Neko
Neko"
"加上
jiāshàng","Plus
jiāshàng"
"车上
jū shàng","Car
jū shàng"
"fnfangsong
fnfangsong","fnfangsong
fnfangsong"
"印象
yìnxiàng","impression
yìnxiàng"
"天空
tiānkōng","sky
tiānkōng"
"天气
tiānqì","the weather
tiānqì"
"小时候
xiǎoshíhou","Childhood
xiǎoshíhou"
"游泳
yóuyǒng","Swim
yóuyǒng"
"拜拜
bàibai","Bye
bàibai"
"滚开
gǔnkāi","Get out
gǔnkāi"
"大部分
dàbùfen","most
dàbùfen"
"stay
stay","stay
stay"
"教练
jiàoliàn","coach
jiàoliàn"
"に
に","Ni
Ni"
"哟
yo","Yo
yo"
"我用
wǒ yòng","I use
wǒ yòng"
"集
jí","set
jí"
"阿姨
āyí","Auntie
āyí"
"估计
gūjì","estimate
gūjì"
"科学
kēxué","science
kēxué"
"而言
éryán","For
éryán"
"乐意
lèyì","willing
lèyì"
"鼻子
bízi","nose
bízi"
"three
three","three
three"
"不錯
bùcuò","Pretty good
bùcuò"
"地区
dìqū","area
dìqū"
"塔
tǎ","tower
tǎ"
"杀害
shāhài","kill
shāhài"
"孤独
gūdú","lonely
gūdú"
"声
shēng","sound
shēng"
"拿来
nálái","Bring
nálái"
"寫
xiě","write
xiě"
"喝点
hē diǎn","To drink
hē diǎn"
"夏天
xiàtiān","summer
xiàtiān"
"十年
shínián","ten years
shínián"
"might
might","might
might"
"如今
rújīn","now
rújīn"
"某人
mǒurén","Someone
mǒurén"
"元
yuán","yuan
yuán"
"不像
bù xiàng","Unlike
bù xiàng"
"欧洲
Ōūzhōu","Europe
Ōūzhōu"
"船上
chuánshàng","Aboard
chuánshàng"
"ﻋ
ﻋ","ع
ع"
"肚子
dùzi","belly
dùzi"
"大声
dàshēng","Loudly
dàshēng"
"手里
shǒulǐ","Hands
shǒulǐ"
"红色
hóngsè","red
hóngsè"
"婴儿
yīngér","baby
yīngér"
"旧
jiù","old
jiù"
"环境
huánjìng","surroundings
huánjìng"
"团队
tuánduì","team
tuánduì"
"神奇
shénqí","magical
shénqí"
"年纪
niánjì","age
niánjì"
"唉
ài","Ugh
ài"
"瞧瞧
qiáo qiáo","Look
qiáo qiáo"
"熊
xióng","Bear
xióng"
"kind
kind","kind
kind"
"年代
niándài","Decade
niándài"
"上学
shàngxué","go to school
shàngxué"
"大量
dàliàng","Numerous
dàliàng"
"快去
kuài qù","Go
kuài qù"
"伤心
shāngxīn","sad
shāngxīn"
"何时
héshí","when
héshí"
"别忘了
biè wàng le","do not forget
biè wàng le"
"紧急
jǐnjí","urgent
jǐnjí"
"布
bù","cloth
bù"
"暴力
bàolì","violence
bàolì"
"付出
fùchū","Pay
fùchū"
"尽量
jìnliàng","As much as possible
jìnliàng"
"太多
tàiduō","too much
tàiduō"
"伤
shāng","hurt
shāng"
"互相
hùxiāng","each other
hùxiāng"
"繼續
jìxù","carry on
jìxù"
"无论如何
wúlùnrúhé","anyway
wúlùnrúhé"
"空气
kōngqì","air
kōngqì"
"邻居
línjū","neighbor
línjū"
"dead
dead","dead
dead"
"某种
mǒuzhǒng","Some kind
mǒuzhǒng"
"想过
xiǎng guo","Thought
xiǎng guo"
"他人
tārén","others
tārén"
"规则
guīzé","rule
guīzé"
"我妈
wǒ mā","my mother
wǒ mā"
"being
being","being
being"
"司机
sījī","driver
sījī"
"好奇
hàoqí","curious
hàoqí"
"城
chéng","city
chéng"
"打破
dǎpò","break in
dǎpò"
"coming
coming","coming
coming"
"信仰
xìnyǎng","faith
xìnyǎng"
"ﻌ
ﻌ","ع
ع"
"不可思议
bùkěsīyì","Inconceivable
bùkěsīyì"
"ﺔ
ﺔ","ة
ة"
"付
fù","pay
fù"
"baby
baby","baby
baby"
"持续
chíxù","continued
chíxù"
"逃
táo","escape
táo"
"朝
zhāo","towards
zhāo"
"无所谓
wúsuǒwèi","Indifferent
wúsuǒwèi"
"协议
xiéyì","protocol
xiéyì"
"父親
fùqīn","father
fùqīn"
"假如
jiǎrú","if
jiǎrú"
"阁下
géxià","Your Mightiness
géxià"
"愿
yuàn","willing
yuàn"
"打赌
dǎdǔ","bet
dǎdǔ"
"城堡
chéngbǎo","castle
chéngbǎo"
"退后
tuì hòu","Back
tuì hòu"
"说不定
shuōbudìng","maybe
shuōbudìng"
"菜
cài","dish
cài"
"彻底
chèdǐ","thorough
chèdǐ"
"地图
dìtú","map
dìtú"
"牧师
mùshī","Priest
mùshī"
"墨西哥
mòxīgē","Mexico
mòxīgē"
"词
cí","word
cí"
"重复
chóngfù","repeat
chóngfù"
"犯人
fànrén","Convict
fànrén"
"我爸
wǒ bà","My Father
wǒ bà"
"妓
jì","prostitute
jì"
"运气
yùnqi","luck
yùnqi"
"不太
bù tài","Unlikely
bù tài"
"华文
huáwén","Chinese
huáwén"
"早晨
zǎochén","in the morning
zǎochén"
"girl
girl","girl
girl"
"幹什麼
gàn shénme","What
gàn shénme"
"house
house","house
house"
"fntahoma
fntahoma","fntahoma
fntahoma"
"一对
yīduì","Pair
yīduì"
"hell
hell","hell
hell"
"小孩子
xiǎoháizi","child
xiǎoháizi"
"money
money","money
money"
"相同
xiāngtóng","the same
xiāngtóng"
"isn
isn","isn
isn"
"裤子
kùzi","pants
kùzi"
"聊
liáo","chat
liáo"
"规矩
guīju","rule
guīju"
"到来
dàolái","arrival
dàolái"
"真棒
zhēnbàng","Awesome
zhēnbàng"
"逃走
táozǒu","escape
táozǒu"
"近
jìn","near
jìn"
"程序
chéngxù","program
chéngxù"
"发出
fāchū","issue
fāchū"
"趴下
pā xià","Get down
pā xià"
"白人
báirén","White man
báirén"
"本书
běn shū","The book
běn shū"
"中尉
zhōngwèi","Lieutenant
zhōngwèi"
"不肯
bùkěn","Refused
bùkěn"
"街上
jiēshang","On the street
jiēshang"
"託
tuō","Care
tuō"
"揍
zòu","beat
zòu"
"度
dù","degree
dù"
"給我
gěi wǒ","give me
gěi wǒ"
"own
own","own
own"
"伙
huǒ","Partner
huǒ"
"打架
dǎjià","fight
dǎjià"
"这太
zhè tài","This too
zhè tài"
"ﻭ
ﻭ","و
و"
"lot
lot","lot
lot"
"女王
nǚwáng","queen
nǚwáng"
"錯
cuò","wrong
cuò"
"救救
jiù jiù","Save
jiù jiù"
"三天
sāntiān","Three days
sāntiān"
"尽
jìn","Exhausted
jìn"
"午餐
wǔcān","lunch
wǔcān"
"则
zé","then
zé"
"看法
kànfǎ","view
kànfǎ"
"喝醉
hēzuì","Drunk
hēzuì"
"一支
yī zhī","A
yī zhī"
"enough
enough","enough
enough"
"权力
quánlì","that power
quánlì"
"也好
yě hǎo","Ye
yě hǎo"
"留言
liúyán","leave a message
liúyán"
"床
chuáng","bed
chuáng"
"脸上
liǎn shàng","His face
liǎn shàng"
"摧毁
cuīhuǐ","destroy
cuīhuǐ"
"全是
quán shì","all
quán shì"
"故意
gùyì","deliberately
gùyì"
"山
shān","mountain
shān"
"罗
luó","Luo
luó"
"打败
dǎbài","defeat
dǎbài"
"哪裡
na lǐ","where
na lǐ"
"hello
hello","hello
hello"
"背后
bèihòu","behind
bèihòu"
"人来
rén lái","People
rén lái"
"远离
yuǎnlí","keep away
yuǎnlí"
"狼
láng","Wolf
láng"
"毕竟
bìjìng","after all
bìjìng"
"警探
jǐngtàn","Detective
jǐngtàn"
"洗澡
xǐzǎo","Bathe
xǐzǎo"
"bad
bad","bad
bad"
"黑色
hēisè","black
hēisè"
"痷
è","E
è"
"便宜
piányi","Inexpensive
piányi"
"大多数
dàduōshù","most
dàduōshù"
"伪
wěi","False
wěi"
"行李
xíngli","Baggage
xíngli"
"别碰
biè pèng","Do not touch
biè pèng"
"毫无
háowú","There is no
háowú"
"线
xiàn","line
xiàn"
"一人
yī rén","one person
yī rén"
"蓝色
lánsè","blue
lánsè"
"浪漫
làngmàn","romantic
làngmàn"
"亲
qīn","Dear
qīn"
"起床
qǐchuáng","get up
qǐchuáng"
"很少
hěnshǎo","Seldom
hěnshǎo"
"大脑
dànǎo","brain
dànǎo"
"师父
shīfu","Master
shīfu"
"殿下
diànxià","Your Highness
diànxià"
"指控
zhǐkòng","Accusation
zhǐkòng"
"道理
dàoli","reason
dàoli"
"擦
cā","rub
cā"
"尖叫
jiānjiào","Screech
jiānjiào"
"爵士
juéshì","Sir
juéshì"
"冠军
guànjūn","champion
guànjūn"
"场
chǎng","field
chǎng"
"按照
ànzhào","according to
ànzhào"
"hear
hear","hear
hear"
"重点
zhòngdiǎn","Emphasis
zhòngdiǎn"
"教育
jiàoyù","education
jiàoyù"
"知不知道
zhī bù zhī dào","do you know
zhī bù zhī dào"
"一堆
yīduī","pile
yīduī"
"前往
qiánwǎng","Go
qiánwǎng"
"对待
duìdài","treat
duìdài"
"another
another","another
another"
"空
kòng","air
kòng"
"进展
jìnzhǎn","progress
jìnzhǎn"
"醒
xǐng","wake
xǐng"
"有所
yǒusuǒ","Somewhat
yǒusuǒ"
"ﻦ
ﻦ","ن
ن"
"大叔
dàshū","Uncle
dàshū"
"仔细
zǐxì","careful
zǐxì"
"半
bàn","half
bàn"
"票
piào","ticket
piào"
"娜
nuó","Na
nuó"
"祝你好运
zhù nǐ hǎoyùn","good luck
zhù nǐ hǎoyùn"
"护士
hùshi","nurse
hùshi"
"一颗
yī kē","A
yī kē"
"既
jì","Already
jì"
"罗斯
luósī","Roth
luósī"
"摸
mō","touch
mō"
"战士
zhànshì","warrior
zhànshì"
"太空
tàikōng","Outer space
tàikōng"
"申请
shēnqǐng","Application
shēnqǐng"
"happened
happened","happened
happened"
"太久
tài jiǔ","For too long
tài jiǔ"
"勇气
yǒngqì","courage
yǒngqì"
"万岁
wànsuì","Long live
wànsuì"
"组
zǔ","group
zǔ"
"重
zhòng","weight
zhòng"
"left
left","left
left"
"委员会
wěiyuánhuì","Committee
wěiyuánhuì"
"强
jiàng","Strong
jiàng"
"付钱
fùqián","Pay
fùqián"
"面包
miànbāo","bread
miànbāo"
"不仅
bùjǐn","not only
bùjǐn"
"ﻘ
ﻘ","ق
ق"
"关注
guānzhù","attention
guānzhù"
"不久
bùjiǔ","soon
bùjiǔ"
"看不见
kànbujiàn","Unseen
kànbujiàn"
"万一
wànyī","just in case
wànyī"
"熟悉
shúxī","Familiar with
shúxī"
"正如
zhèngrú","Just like
zhèngrú"
"笑话
xiàohuà","joke
xiàohuà"
"法
fǎ","law
fǎ"
"k
k","k
k"
"咯
lo","Cough
lo"
"经典
jīngdiǎn","classic
jīngdiǎn"
"一间
yī jiān","one
yī jiān"
"fucking
fucking","fucking
fucking"
"凭
píng","Based on
píng"
"fine
fine","fine
fine"
"remember
remember","remember
remember"
"wrong
wrong","wrong
wrong"
"抛弃
pāoqì","abandon
pāoqì"
"时光
shíguāng","Time
shíguāng"
"实验室
shíyànshì","laboratory
shíyànshì"
"掌握
zhǎngwò","grasp
zhǎngwò"
"英语
yīngyǔ","English
yīngyǔ"
"在意
zàiyì","care
zàiyì"
"管理
guǎnlǐ","management
guǎnlǐ"
"干活
gànhuó","To work
gànhuó"
"洞
dòng","hole
dòng"
"范围
fànwéi","range
fànwéi"
"李
lǐ","Plum
lǐ"
"低
dī","low
dī"
"集中
jízhōng","concentrated
jízhōng"
"遇见
yùjiàn","meet
yùjiàn"
"懂吗
dǒng ma","You know.
dǒng ma"
"做点
zuò diǎn","Do something
zuò diǎn"
"右
yòu","right
yòu"
"说出
shuōchū","Utter
shuōchū"
"艾伦
yì lún","Alan
yì lún"
"报道
bàodào","Report
bàodào"
"最高
zuìgāo","highest
zuìgāo"
"之外
zhīwài","Outside the
zhīwài"
"哪兒
nǎr","where
nǎr"
"表情
biǎoqíng","expression
biǎoqíng"
"警局
jǐngjú","Police
jǐngjú"
"用力
yònglì","Exertion
yònglì"
"ﻥ
ﻥ","ن
ن"
"found
found","found
found"
"谎言
huǎngyán","lie
huǎngyán"
"回忆
huíyì","Memories
huíyì"
"传统
chuántǒng","Tradition
chuántǒng"
"放到
fàng dào","Put
fàng dào"
"move
move","move
move"
"都行
dōu xíng","Will do
dōu xíng"
"海洋
hǎiyáng","ocean
hǎiyáng"
"椅子
yǐzi","chair
yǐzi"
"欣赏
xīnshǎng","enjoy
xīnshǎng"
"五分钟
wǔ fēnzhōng","five minutes
wǔ fēnzhōng"
"舞会
wǔhuì","prom
wǔhuì"
"搜查
sōuchá","search
sōuchá"
"wanted
wanted","wanted
wanted"
"快要
kuàiyào","About
kuàiyào"
"小女孩
xiǎo nǚ hái","little girl
xiǎo nǚ hái"
"退出
tuìchū","drop out
tuìchū"
"看吧
kàn ba","Check it out
kàn ba"
"事业
shìyè","cause
shìyè"
"头上
tóushàng","Head
tóushàng"
"机器人
jīqìrén","robot
jīqìrén"
"绝不
juébù","no way
juébù"
"max
max","max
max"
"talking
talking","talking
talking"
"专业
zhuānyè","profession
zhuānyè"
"作用
zuòyòng","effect
zuòyòng"
"完毕
wánbì","complete
wánbì"
"王
wàng","king
wàng"
"增加
zēngjiā","increase
zēngjiā"
"不太好
bùtàihǎo","not too good
bùtàihǎo"
"隐藏
yǐncáng","hide
yǐncáng"
"诅咒
zǔzhòu","curse
zǔzhòu"
"随
suí","Follow
suí"
"一面
yīmiàn","one side
yīmiàn"
"思想
sīxiǎng","thought
sīxiǎng"
"项目
xiàngmù","project
xiàngmù"
"cause
cause","cause
cause"
"杂志
zázhì","magazine
zázhì"
"再見
zàijiàn","Goodbye
zàijiàn"
"达到
dádào","achieve
dádào"
"关掉
guāndiào","Turn off
guāndiào"
"罢了
bàliǎo","Bale
bàliǎo"
"father
father","father
father"
"不吃
bù chī","Do not eat
bù chī"
"部门
bùmén","department
bùmén"
"联邦
liánbāng","federal
liánbāng"
"坏人
huàirén","Bad person
huàirén"
"职业
zhíyè","Occupation
zhíyè"
"剑
jiàn","sword
jiàn"
"观察
guānchá","Observed
guānchá"
"格
gé","grid
gé"
"毕业
bìyè","graduation
bìyè"
"扂
diàn","Dian
diàn"
"阳光
yángguāng","sunlight
yángguāng"
"白色
báisè","white
báisè"
"岛
dǎo","island
dǎo"
"吐
tù","threw up
tù"
"想见
xiǎngjiàn","Want to see
xiǎngjiàn"
"有效
yǒuxiào","effective
yǒuxiào"
"做过
zuò guo","Done
zuò guo"
"实验
shíyàn","experiment
shíyàn"
"course
course","course
course"
"same
same","same
same"
"親愛的
qīnàide","Dear
qīnàide"
"心中
xīnzhōng","Hearts
xīnzhōng"
"忍受
rěnshòu","endure
rěnshòu"
"对此
duì cǐ","In this regard
duì cǐ"
"圣诞节
shèngdànjié","Christmas
shèngdànjié"
"nice
nice","nice
nice"
"罗伯特
luóbótè","Robert
luóbótè"
"试着
shìzhe","Try
shìzhe"
"作家
zuòjiā","writer
zuòjiā"
"罪
zuì","crime
zuì"
"出口
chūkǒu","Export
chūkǒu"
"感兴趣
gǎnxìngqù","Interested
gǎnxìngqù"
"f
f","f
f"
"区域
qūyù","area
qūyù"
"主演
zhǔyǎn","Starring
zhǔyǎn"
"else
else","else
else"
"愤怒
fènnù","anger
fènnù"
"抽烟
chōuyān","smokes
chōuyān"
"凯特
kǎitè","Kate
kǎitè"
"著名
zhùmíng","famous
zhùmíng"
"渴望
kěwàng","desire
kěwàng"
"乱
luàn","Disorderly
luàn"
"内心
nèixīn","heart
nèixīn"
"小组
xiǎozǔ","group
xiǎozǔ"
"挖
wā","dig
wā"
"understand
understand","understand
understand"
"将来
jiānglái","future
jiānglái"
"信心
xìnxīn","confidence
xìnxīn"
"を
を","Wo
Wo"
"michael
michael","michael
michael"
"事故
shìgù","accident
shìgù"
"next
next","next
next"
"fbi
fbi","fbi
fbi"
"玩具
wánjù","toy
wánjù"
"对手
duìshǒu","opponent
duìshǒu"
"带你去
dài nǐ qù","Take you
dài nǐ qù"
"抢劫
qiǎngjié","robbery
qiǎngjié"
"华盛顿
huáshèngdùn","Washington
huáshèngdùn"
"现金
xiànjīn","cash
xiànjīn"
"摆脱
bǎituō","get rid of
bǎituō"
"海
hǎi","sea
hǎi"
"变态
biàntài","metamorphosis
biàntài"
"在场
zàichǎng","The presence
zàichǎng"
"锁
suǒ","lock
suǒ"
"这座
zhè zuò","This
zhè zuò"
"细节
xìjié","detail
xìjié"
"抱怨
bàoyuàn","complain
bàoyuàn"
"部
bù","unit
bù"
"陌生人
mòshēngrén","stranger
mòshēngrén"
"秨
zuó","Zuo
zuó"
"为此
wèicǐ","to this end
wèicǐ"
"many
many","many
many"
"毛
máo","hair
máo"
"独自
dúzì","alone
dúzì"
"红
hóng","red
hóng"
"档案
dàngàn","file
dàngàn"
"一套
yītào","set
yītào"
"优秀
yōuxiù","excellent
yōuxiù"
"喊
hǎn","call
hǎn"
"美妙
měimiào","wonderful
měimiào"
"血液
xuèyè","blood
xuèyè"
"数据
shùjù","data
shùjù"
"内容
nèiróng","content
nèiróng"
"大师
dàshī","Grandmaster
dàshī"
"这张
zhè zhāng","This
zhè zhāng"
"随着
suízhe","along with
suízhe"
"混乱
hùnluàn","confusion
hùnluàn"
"聊天
liáotiān","to chat with
liáotiān"
"乖乖
guāi guāi","Obediently
guāi guāi"
"走路
zǒulù","walk
zǒulù"
"马丁
mǎdīng","Martin
mǎdīng"
"需
xū","need
xū"
"早点
zǎodiǎn","Breakfast
zǎodiǎn"
"伙伴
huǒbàn","partner
huǒbàn"
"し
し","Shi
Shi"
"有空
yǒukòng","Free
yǒukòng"
"came
came","came
came"
"指挥
zhǐhuī","command
zhǐhuī"
"态度
tàidu","attitude
tàidu"
"hi
hi","hi
hi"
"左
zuǒ","left
zuǒ"
"几次
jǐcì","several times
jǐcì"
"show
show","show
show"
"牛
niú","Cattle
niú"
"getting
getting","getting
getting"
"审判
shěnpàn","Trial
shěnpàn"
"媒体
méitǐ","media
méitǐ"
"这有
zhè yǒu","Here is
zhè yǒu"
"保安
bǎoān","Security
bǎoān"
"教会
jiàohuì","church
jiàohuì"
"即
jí","which is
jí"
"記得
jìde","remember
jìde"
"并非
bìngfēi","Is not
bìngfēi"
"工厂
gōngchǎng","factory
gōngchǎng"
"收集
shōují","collect
shōují"
"背
bèi","Rear
bèi"
"每年
měinián","Per year
měinián"
"赶
gǎn","Rush
gǎn"
"ask
ask","ask
ask"
"射击
shèjī","shooting
shèjī"
"ぱ
ぱ","ぱ
ぱ"
"ﻞ
ﻞ","ل
ل"
"一根
yī gēn","A
yī gēn"
"过得
guòdé","Nice
guòdé"
"损失
sǔnshī","loss
sǔnshī"
"帮帮我
bāng bāng wǒ","help me
bāng bāng wǒ"
"王八蛋
wángbādàn","Son of a bitch
wángbādàn"
"法官大人
fǎguān dàren","Your Honor
fǎguān dàren"
"埋
mái","Bury
mái"
"杀掉
shādiào","Kill
shādiào"
"这条
zhè tiáo","This
zhè tiáo"
"wasn
wasn","wasn
wasn"
"鞋子
xiézi","Shoe
xiézi"
"事物
shìwù","thing
shìwù"
"死者
sǐzhě","deceased
sǐzhě"
"不止
bùzhǐ","more than
bùzhǐ"
"拖
tuō","drag
tuō"
"能否
néngfǒu","Can
néngfǒu"
"奴隶
núlì","slave
núlì"
"兒子
érzi","son
érzi"
"我現
wǒ xiàn","I now
wǒ xiàn"
"real
real","real
real"
"trying
trying","trying
trying"
"被捕
bèibǔ","Under arrest
bèibǔ"
"瞷
jiàn","Jian
jiàn"
"分析
fēnxī","analysis
fēnxī"
"微笑
wēixiào","smile
wēixiào"
"翴
lián","Lian
lián"
"looking
looking","looking
looking"
"jack
jack","jack
jack"
"俄罗斯
Éluósī","Russia
Éluósī"
"情人
qíngrén","lover
qíngrén"
"か
か","Ka
Ka"
"胡说
húshuō","nonsense
húshuō"
"市场
shìchǎng","market
shìchǎng"
"降落
jiàngluò","landing
jiàngluò"
"投降
tóuxiáng","surrender
tóuxiáng"
"定
dìng","set
dìng"
"交往
jiāowǎng","Intercourse
jiāowǎng"
"骑
qí","ride
qí"
"幻想
huànxiǎng","fantasy
huànxiǎng"
"首歌
shǒugē","The song
shǒugē"
"盒子
hézi","box
hézi"
"开火
kāihuǒ","Fire
kāihuǒ"
"那条
nà tiáo","Piece of
nà tiáo"
"算了吧
suànle ba","forget it
suànle ba"
"出事
chūshì","Accident
chūshì"
"悲伤
bēishāng","sad
bēishāng"
"进攻
jìngōng","attack
jìngōng"
"超
chāo","ultra
chāo"
"威廉
wēilián","William
wēilián"
"谈过
tán guo","Talked to
tán guo"
"经济
jīngjì","economic
jīngjì"
"聊聊
liáo liáo","Talk
liáo liáo"
"宁愿
nìngyuàn","would rather
nìngyuàn"
"try
try","try
try"
"鸡
jī","Chicken
jī"
"局
jú","Office
jú"
"两人
liǎng rén","They
liǎng rén"
"那晚
nà wǎn","Night
nà wǎn"
"葬礼
zànglǐ","funeral
zànglǐ"
"嫉妒
jídù","Jealous
jídù"
"芝加哥
zhījiāgē","Chicago
zhījiāgē"
"boy
boy","boy
boy"
"想干什么
xiǎng gànshénme","I want to do
xiǎng gànshénme"
"乖
guāi","be good
guāi"
"绝不会
jué bùhuì","Never
jué bùhuì"
"英尺
yīngchǐ","foot
yīngchǐ"
"演
yǎn","play
yǎn"
"蟿
qì","Ji
qì"
"男子
nánzǐ","man
nánzǐ"
"误会
wùhuì","misunderstanding
wùhuì"
"这话
zhè huà","These words
zhè huà"
"ﺭ
ﺭ","ر
ر"
"清醒
qīngxǐng","wide awake
qīngxǐng"
"外套
wàitào","coat
wàitào"
"打个
dǎ gè","Make a
dǎ gè"
"不信
bù xìn","Do not believe
bù xìn"
"出色
chūsè","outstanding
chūsè"
"当心
dāngxīn","Be careful
dāngxīn"
"失陪
shīpéi","Excuse
shīpéi"
"稍微
shāowēi","a little
shāowēi"
"走进
zǒujìn","Into
zǒujìn"
"進來
jìnlái","Come in
jìnlái"
"毁灭
huǐmiè","destroy
huǐmiè"
"回头
huítóu","Look back
huítóu"
"thanks
thanks","thanks
thanks"
"五个
wǔ gè","Five
wǔ gè"
"工人
gōngrén","worker
gōngrén"
"举行
jǔxíng","Hold
jǔxíng"
"度过
dùguò","Through
dùguò"
"类似
lèisì","similar
lèisì"
"懂得
dǒngde","know
dǒngde"
"科学家
kēxuéjiā","the scientist
kēxuéjiā"
"支付
zhīfù","Pay
zhīfù"
"牛奶
niúnǎi","milk
niúnǎi"
"正要
zhèngyào","Was about to
zhèngyào"
"反
fǎn","anti-
fǎn"
"best
best","best
best"
"说好
shuōhǎo","agreed
shuōhǎo"
"mike
mike","mike
mike"
"ら
ら","Ra
Ra"
"p
p","p
p"
"长得
zhǎngde","Grow
zhǎngde"
"搭档
dādàng","partner
dādàng"
"露西
lùxī","Lucy
lùxī"
"坚强
jiānqiáng","strong
jiānqiáng"
"鞋
xié","shoe
xié"
"mind
mind","mind
mind"
"语言
yǔyán","Language
yǔyán"
"感染
gǎnrǎn","infection
gǎnrǎn"
"歲
suì","year old
suì"
"规定
guīdìng","Provision
guīdìng"
"农场
nóngchǎng","farm
nóngchǎng"
"钻石
zuànshí","diamond
zuànshí"
"六
liù","six
liù"
"ﻓ
ﻓ","ف
ف"
"常常
chángcháng","often
chángcháng"
"蛋
dàn","egg
dàn"
"生日快乐
shēngrìkuàilè","happy Birthday
shēngrìkuàilè"
"直升机
zhíshēngjī","Helicopter
zhíshēngjī"
"广告
guǎnggào","advertising
guǎnggào"
"其實
qíshí","in fact
qíshí"
"州
zhōu","State
zhōu"
"表达
biǎodá","expression
biǎodá"
"砍
kǎn","cut
kǎn"
"那裡
nà lǐ","There
nà lǐ"
"镇
zhèn","town
zhèn"
"說過
shuō guo","He said,
shuō guo"
"總
zǒng","total
zǒng"
"沙漠
shāmò","desert
shāmò"
"car
car","car
car"
"ﺒ
ﺒ","ب
ب"
"完蛋
wándàn","Finished
wándàn"
"引擎
yǐnqíng","engine
yǐnqíng"
"口袋
kǒudài","pocket
kǒudài"
"愿望
yuànwàng","desire
yuànwàng"
"道路
dàolù","the way
dàolù"
"带我去
dài wǒqù","take me to
dài wǒqù"
"海滩
hǎitān","beach
hǎitān"
"文化
wénhuà","culture
wénhuà"
"总部
zǒngbù","Headquarters
zǒngbù"
"脑子
nǎozi","Brain
nǎozi"
"城里
chénglǐ","City
chénglǐ"
"慰
wèi","comfort
wèi"
"风
fēng","wind
fēng"
"黄金
huángjīn","gold
huángjīn"
"暗
àn","dark
àn"
"说法
shuōfa","statement
shuōfa"
"today
today","today
today"
"ﺳ
ﺳ","س
س"
"奥
Ào","Oh
Ào"
"み
み","Mi
Mi"
"耐心
nàixīn","patient
nàixīn"
"去死吧
qùsǐ ba","go to hell
qùsǐ ba"
"课
kè","class
kè"
"放过
fàngguò","Let go
fàngguò"
"解雇
jiěgù","Fire
jiěgù"
"期间
qījiān","period
qījiān"
"ﻛ
ﻛ","ك
ك"
"伤口
shāngkǒu","wound
shāngkǒu"
"hold
hold","hold
hold"
"脱
tuō","Take off
tuō"
"投资
tóuzī","investment
tóuzī"
"此事
cǐ shì","The matter
cǐ shì"
"树
shù","tree
shù"
"描述
miáoshù","description
miáoshù"
"ﺬ
ﺬ","ذ
ذ"
"退休
tuìxiū","retirement
tuìxiū"
"长时间
cháng shí jiān","Time
cháng shí jiān"
"地下
dìxià","underground
dìxià"
"克斯
kè sī","Alex
kè sī"
"稍
shāo","a little
shāo"
"く
く","Ku
Ku"
"情況
qíngkuàng","Happening
qíngkuàng"
"代价
dàijià","cost
dàijià"
"欺骗
qīpiàn","deceive
qīpiàn"
"队伍
duìwǔ","Contingent
duìwǔ"
"咦
yí","what
yí"
"到时候
dàoshíhòu","By the time
dàoshíhòu"
"指望
zhǐwàng","Hope
zhǐwàng"
"烂
làn","rotten
làn"
"视频
shìpín","video
shìpín"
"也許
yěxǔ","Maybe
yěxǔ"
"不来
bù lái","Not coming
bù lái"
"踩
cǎi","Tread
cǎi"
"爹
diē","father
diē"
"一座
yī zuò","A
yī zuò"
"选手
xuǎnshǒu","Contestant
xuǎnshǒu"
"挑
tiāo","pick
tiāo"
"国际
guójì","International
guójì"
"留给
liúgěi","Left to
liúgěi"
"希特勒
xītèlè","Hitler
xītèlè"
"间谍
jiàndié","spy
jiàndié"
"真想
zhēn xiǎng","Really want to
zhēn xiǎng"
"程度
chéngdù","degree
chéngdù"
"用于
yòngyú","For
yòngyú"
"尊敬
zūnjìng","respect
zūnjìng"
"保重
bǎozhòng","Take care
bǎozhòng"
"一声
yīshēng","Sound
yīshēng"
"革命
gémìng","revolution
gémìng"
"搜索
sōusuǒ","search for
sōusuǒ"
"羅
luó","Luo
luó"
"教训
jiàoxun","lesson
jiàoxun"
"支援
zhīyuán","support
zhīyuán"
"莫
mò","Mo
mò"
"盖
gài","cover
gài"
