、,","
三振,Struck out
卓球,Table Tennis
中和,Neutralizing
一つ,One
集金,Money collection
元彼,Former boyfriend
打算,Calculative
取り入,Torii
頑張り,Do my best
両名,Both persons
不服,Complaint
支柱,Prop
休業,Holiday
裏手,Behind
アーソ,Aso
望月,Full moon
内藤,Naito
追っ手,pursuer
入部,Join the club
野田,Noda
決議,resolution
三脚,tripod
降格,Demoted
千里,Thousand miles
頭領,Toryo
今時,these days
乱闘,Fray
使い物,Useless
保養,Recreation
消極,negative
回し,Turn
引き剥が,Pull peeled
アサシン,Assassin
籠城,Siege
不慣れ,Inexperience
手詰まり,stalemate
行き詰まり,Impasse
弱々し,Yowayowashi
押し入り,Broke
必殺,Deadly
立方,Cube
臣下,Vassal
重病,Serious illness
柏田,Kashiwada
公安,Public safety
青白,Paleness
安寧,Public peace
所以,Reason
解き明か,Or solve Akira
撃ち殺せ,Uchikorose
近接,The proximity
撲殺,Beat to death
入り込め,Impenetrable
中部,Middle
期日,Deadline
奥田,Okuda
惨劇,Tragedy
凡人,Ordinary person
終戦,End of war
女史,Ms.
ファラミア,Faramir
クローディア,Claudia
可燃,Inflammable
書き込み,writing
支出,Spending
編み物,knitting
前夫,Former husband
思い付き,Idea
苦戦,Hard fight
２人組,2 duo
周瑜,Zhou Yu
査問,Inquiry
胞子,spore
八重子,Yaeko
時機,Timely
種子,seed
勘当,Disinheritance
有色,Colored
受け持,Received equity
献金,Donation
転々,Place to place
比類,Incomparable
ありつけ,Aritsuke
ティア,Tier
改修,Refurbishment
取り締まり,control
足労,Trouble of going somewhere
書記,Secretary
張り裂け,Harisake
全盛,Height of prosperity
絵の具,paints
売りつけ,Sell ​​shares
竹内,Takeuchi
乱交,Promiscuity
下がり,Down
月光,moonlight
屈強,Sturdy
迫力,Force
エリアス,Elias
堅実,solid
補聴,Hearing aid
神田,Kanda
目星,Educated guess
都督,MiyakoTadashi
醸造,brewing
不浄,Uncleanness
同点,Tie
入団,He joined
津々,Sound of heavy snowfall
本院,This institution
等分,Equally divided
決済,settlement
名門,Noble family
青酸,hydrocyanic acid
実刑,Prison
対称,Symmetry
辞令,Notice of personnel change
体裁,Appearance
空洞,cavity
送迎,Pick-up
返金,Repayment
信久,Nobuhisa
予行,Rehearsal
飲み屋,bar
老後,old age
法師,Buddhist priest
水兵,Sailor
水たまり,puddle
特売,Special sale
あぅ,Ah
アレンジ,arrange
補修,repair
夜行,Night train
代案,Alternative
下敷き,Mat
官能,Functional
行き違い,Disagreement
幕開け,Beginning
校舎,School building
他方,On the other hand
地所,estate
ナイトメア,nightmare
特化,Specialized
波長,wavelength
船外,Outboard
孫権,Sun Quan
案の定,Sure enough
一新,Renewal
生検,biopsy
製氷,ice making
表せ,Expressed
立ち上がり,Rising up
クロアチア,Croatia
シャンデリア,chandelier
地道,steady
優良,Excellent
線引き,Drawing
居酒屋,Tavern
刃向か,Suited blade
シンティア,Shintia
見せ場,Highlight
３、,"3,"
曲芸,Acrobatics
対照,Contrast
誤算,miscalculation
仰向け,His back
道楽,Hobby
ミディアム,Medium
発泡,Foaming
あたしら,Atashira
図々し,Impudence
公約,Public commitment
運び出せ,Hakobidase
同化,Assimilation
源泉,source
不治,Incurability
アンプ,Amplifier
公選,Public election
下級,Junior
アレッサ,Aressa
あなたしか,You only
企む,Conspire
空域,Airspace
因子,factor
エドミュア,Edomyua
実務,Practical business
惨状,Disastrous scene
下位,Subordinate
勝ち取れ,Kachitore
大根,Japanese white radish
奇人,Eccentric
気まま,Selfishness
ダンピア,Dampier
小吉,Koyoshi
流体,fluid
電動,electric
里子,Foster child
民事,Civil affairs
応変,Ohen
誤魔化せ,Gomakase
臨機,Of opportunity
掛け金,Premium
養成,training
富小路,Tomikoji
小池,Koike
熱気,Hot air
先延ば,If Sakinobe
規格,standard
同室,Same room
度々,Often
技量,skill
呼び鈴,bell
引継ぎ,Inheriting
持ち主だ,But owner
際立,Rhino standing
下部,beneath
殺虫,Insecticides
防ぎ,Prevent
常時,Usually
気掛かり,Concern
インソムニア,Insomnia
京橋,Kyobashi
インテリア,interior
騎乗,Riding
有人,manned
新星,Nova
島田,Shimada
法学,Law
果敢,Resolute
アラナ,Alana
解凍,Thawing
安堵,The relief
西欧,Western Europe
木陰,The shade of a tree
旅費,Travel expenses
小善,Shozen
石器,stone tool
悪評,Notoriety
三浦,Miura
強行,Forced
音速,Speed ​​of sound
外生命,Outside life
四国,Shikoku
え〜,e~
物知り,Know-It-All
激戦,Fierce battle
正念,Shonen
ギルモア,Gilmore
愛で,With love
ソニアン,Sonian
あしら,Grove
施行,Enforcement
往来,Traffic
家電,Consumer electronics
他人事,Other people's affairs
単,single
人ごみ,Crowds
園内,Park
アイヴァン,Ivan
搾り取,Shiborito
錠前,lock
人探し,Searching for smb.
レイアウト,The layout
水深,Water depth
カルフォルニア,California
未定,Undecided
這い上が,The upper crawl
踏ん張れ,Funbare
アラモ,Alamo
近寄れ,Chikayore
味付け,Spice
占有,Occupied
統べ,All
団員,Group member
談話,Conversation
言い回し,Phraseology
定か,Sure
ヴィクトリア,Victoria
現せ,Yet been spied by a recruiter
先駆,Pioneer
引換,Exchange
一挙,One effort
半人,Half people
卍谷,Manjitani
壮観,Spectacle
合わさ,Together
水滴,Drop of water
博愛,Philanthropy
病弱,Weak constitution
素行,behavior
虚無,Nothingness
鹿児島,Kagoshima
失策,faux pas
職権,Authority
アリッサ,Alyssa
品位,Dignity
立ち向かえ,Dare it
イタリアン,Italian
モリア,Moria
別室,Separate room
専制,Despotism
ピュア,pure
既存,Existing
校庭,Campus
裁定,Ruling
通夜,wake
秀子,Hideko
あそ,Aso
存じ上げ,Idea
殺菌,Sterilization
リアリティ,Reality
狂言,Kyogen
無難,Safe
振り向け,Directed
青ざめ,Pale
沖合,Offing
物々,Barter
着任,Appointed
駆け付け,Rushed
強襲,Assault
ティアラ,tiara
引っこ抜,Hikko抜
電解,electrolytic
体系,system
楽団,Orchestra
座り込,Sitting write
呼び込,Write call
アンジェリーナ,Angelina
前者,former
積み,Masonry
実況,Real condition
消し,Off
多発,Multiple
商会,Firm
値引き,discount
国道,National highway
奮い立,Old standing
張り合,Hari case
カロアー,Karoa
発送,Shipping
事覚え,Kotooboe
威光,Majesty
体質,Constitution
選定,Selection
戸締り,Closing up
シュア,Sure
小指,little finger
引き払,Pull payment
アクシーニヤ,Akushiniya
観戦,Watching
白熱,Incandescence
受領,Receipt
先立,Previously stand
アーサ,Eartha
協同,Cooperative
小野寺,Onodera
暫定,Interim
手はず,Arrangements
降霊,Frey
取り扱い,handling
白水,White water
諮問,Inquiry
アーヴィング,Irving
安田,Yasuda
ミアーズ,Mears
義,Righteousness
条例,Regulations
上れ,Climb
後れ,Lag
ドアベル,Doorbell
グアテマラ,Guatemala
パラノイア,paranoia
全艦,All ship
適度,Moderate
金切り,Gold cut
正せ,Tadase
独り身,Hitorimi
浮かび上が,Ukabiaga
発煙,fuming
小節,Bar
一揆,Riot
交響,Symphony
ブライアント,Bryant
女中,maid
と殺,Slaughter
創始,Founding
仔馬,Foals
無神,Atheist
突き当たり,End of the road
開演,The curtain
高ぶ,High-department
教え込,Included taught
向こうが,It is over there
あらかじめ,in advance
移入,Importation
丼,Bowl of rice
荒々し,Harshness
奉行,magistrate
錬金,Alchemy
開口,Opening
アデレード,Adelaide
芸名,stage name
助産,midwifery
ディアン,Dian
否決,Rejection
人妻,Married woman
認否,Approval or disapproval
起こし,Cause
アンドレフ,Andorefu
報知,Information
美学,aesthetics
アイダ,Aida
完売,sold out
アイシャ,Aisha
向き合え,Mukiae
経典,Scriptures
享受,Enjoy
大まか,rough
神霊,Holy Spirit
交易,trade
松本,Matsumoto
アレハンドロ,Alejandro
刈り取,Reaper
延命,Longevity
フェアモント,Fairmont
前触れ,Harbinger
入試,Entrance examination
のけ者,An outcast
先行き,Future
定年,Retirement age
投げかけ,Cast
無様,Unsightly
秋葉,Akiba
戦傷,Battlefield injuries
流れ込,Flow into
競い合,Compete if
溶岩,lava
突き放,Thrust release
示談,Settlement out of court
取り舵,It takes helm
臨界,critical
医院,Clinic
あう,meet
不振,Slump
続報,Follow-up report
放蕩,Profligacy
手玉,A cue ball
風習,Custom
粘り強,Tenacity
履行,Fulfillment
手こず,Tekozu
着ろ,Kilometer
昭和,Showa
あたりまえ,obviously
植えつけ,Planted
水漏れ,Water leak
あーん,An
欲張り,Greed
東欧,Eastern Europe
我在,Warezai
思念,Pneumatronic
アドリブ,Ad lib
信任,confidence
路肩,Shoulder of a road
偶発,Accidental
債務,debt
野良犬,Stray dog
で～,In ~
付随,Concomitant
松吉,Ind
アドリアナ,Adriana
年寄,Aged
護れ,Mamore
増員,Increase the number
購読,Subscription
野朗め,Norome
勅使,Imperial messenger
垣間見,Glimpse
度重な,Tabikasana
高名,Fame
体面,Dignity
アイゼンガルド,Isengard
何れ,Which
化膿,Suppuration
平林,Hirabayashi
三恵,Sankei
届け物,Deliver products
悩み事,trouble
成り下が,Narisaga
強食,Strength diet
休ま,Rest
毎秒,Every second
防水,waterproof
凝視,Stare
堪能,Proficient
突き付け,Confronted
日経,Nikkei
贋作,Forgery
砂利,gravel
引っかき傷,Scratch
貴子,Takako
近づき,Close
現存,Extant
都護,MiyakoMamoru
ああああ,Ah ah
暴風雨,storm
年中,Whole year
張れ,Halle
的中,Center
農薬,Agricultural chemicals
性急,Impatience
立法,legislation
工程,A process
内向,Introvert
ガイア,Gaia
栄子,Eiko
あからさま,Overt
成熟,Maturity
金利,interest rate
聴力,Hearing ability
高橋,Takahashi
当該,The
踊り子,Dancer
わが家,My home
改変,Modification
何語,What language
所見,Opinion
使徒,Apostle
言論,Freedom of speech
社名,Company name
アイヴァー,Ivar
振り子,pendulum
矢野,Yano
蓮美,Hasumi
大食い,Gluttony
ティアー,Tear
導け,Michibike
読み物,Reading material
アスファルト,asphalt
軍部,Military authorities
近年,recent years
提言,Proposal
動議,motion
重宝,Convenience
喜劇,comedy
二の舞,Ninomai
先々,Distant future
提起,Raises
直観,Intuition
自給,Self-support
縁石,curb
有料,Toll
成りすま,Become Suma
主犯,Principal offender
分け与え,Dispensation
和ら,"Sum, et al."
引き立て,It brings out
あがめ,Revered
締結,Entered into
供与,Donating
居続け,Itsuzuke
無音,Soundless
大罪,Cardinal sin
書籍,Book
声かけ,Over voice
大英,British
ああ〜,Oh~
山賊,Bandit
市外,Suburbs
小売,retail
上限,upper limit
非行,delinquency
廃品,Waste
ソリア,Soria
取ら,Taken
原油,crude oil
決別,Departure
散乱,scattering
身ごも,Migomo
本道,Main road
ヶ月経,Months menstruation
上乗せ,Plus
尊大,Pomposity
前戯,Foreplay
慈愛,Affection
見せ付け,Showing off
特質,Characteristic
千,thousand
入所,Admission
部分か,Or part
小枝,Twig
搬入,Loading
波紋,Ripple
不純,Impurity
母星,Mother star
各位,Dear
日用,Daily
葉書,postcard
地主,Landlord
幅広,Wide width
（＾−＾）/~~~,(^ - ^) / ~ ~ ~
６千,6 thousand
安住,Living peaceably
肌馬,Hadaba
媒体,Media
送りだ,I Feed
マラリア,malaria
グリアー,Grier
小道,Path
手応え,Response
コンティニュア,Continua
売渡,Sale
手抜き,Shoddy
海面,Sea
神社,Shinto shrine
平衡,equilibrium
鉄板,Iron plate
加圧,Pressurization
目分,Eye minute
内陸,inland
車中,In Vehicle
掛け合,Over case
夜分,night
文法,grammar
音符,note
アリウス,Arius
特命,Mission
口数,Talkative
都能,Tonneau
立件,Booked
リアクション,reaction
奇術,magic
両端,both ends
密着,Contact
旗本,Bannerman
角田,Tsunoda
絶命,Death
並行,Concurrent
変数,variable
知子,Tomoko
内地,Inland
霊界,Spiritual world
フォアマン,Foreman
負い目,Oime
反旗,Standard of revolt
触手,Tentacle
早口,Fast-talking
当方,us
褐色,brown
わ～,I ~
勃発,outbreak
相関,correlation
ボルティモア,Baltimore
米兵,US soldiers
ちゃ～ん,Tea ~
賛美,praise
二股,Bifurcation
インドネシア,Indonesia
月日,time
学士,Bachelor
送り迎え,Drop off and pick up
補正,correction
物好き,Curiosity
転がり込,Included rolling
学業,Schoolwork
治世,reign
紀,Kino
やりあ,Yaria
移れ,Turning
実権,Real power
谷子,Taniko
前言,Previous remarks
アウグスト,Augusto
退位,Abdication
外套,mantle
材木,timber
律,Ritsu
大っ嫌い,I hate large Tsu
ズアー,Zua
差し引,Insert argument
あさり,Clams
ありす,Alice
７千,7 thousand
自社,House
心地よ,Comfort
鍋島,Nabeshima
共め,Co because
院内,Hospital
遺志,Dying wish
告解,Shrove
還元,reduction
裁縫,sewing
暴言,Abusive language
農作,Agricultural
打合せ,Appointment
文無し,Penniless
手付,Earnest
不可思議,Mystery
主流,Main stream
摘発,Exposing
名士,Celebrity
あープ,Arp
小額,Small
町外れ,outskirts
前途,Outlook
アニャ,Anja
刺客,Assassin
アルティ,Ultimatum
金太郎,Kintaro
終着,Last stop
メイア,Meir
発酵,fermentation
申し入れ,offer
半券,Ticket stub
顕著,Remarkable
置換,Replacement
ジャイアンツ,Giants
くそ野朗,Damn curse
下垂,Drooping
江南,Gangnam
むしり取,Mushirito
稼業,Occupation
アズラ,Azura
釣り合い,balance
刻々,Moment by moment
改竄,Alter
逆上,frenzy
人类,Mankind
開園,Opening
敵地,Enemy territory
乗り込め,Norikome
鳥類,birds
ヵ所,Locations
蝶々,Butterfly
令嬢,daughter
方形,square
高瀬,Takase
流用,Diversion
日差し,sunlight
ざまあ,Zamaa
言っ,Said
内原,Uchihara
旅だ,It journey
震え上が,Furueaga
徳子,Noriko
母方,Maternal
八戒,Hakkai
野口,Noguchi
建国,Founding
編み,Braided
合戦,battle
改宗,Conversion
圏内,Within
牧野,Makino
昔話,Legend
過信,Overconfidence
勝元,Katsumoto
支払え,Pay
試行,Trial
乗り上げ,Riding
喚問,Summons
アロ,Aro
あぁー,Aa
天上,Heavens
建前,Supposedly
北星,Hokusei
圭三,Keizo
京都,Kyoto
浪人,Ronin
かき乱,Oyster turbulent
アルキデス,Arukidesu
真昼間,Broad daylight
ディアボーン,Dearborn
直帰,Bounce
マンティコア,Manticore
小男,Small guy
検疫,quarantine
挙式,Holding a ceremony
積め,Claw
激化,Intensification
アーカンソー,Arkansas
ぶっ放,Buhho
オアシス,oasis
アイダホ,Idaho
転売,resale
かがり火,Bonfire
上質,Fine quality
死期,Time of death
聖典,Scripture
高潮,High tides
末路,fate
ボア,Boa
報せ,News
初頭,Beginning
丿ヾ力,丿 Isuzu force
強豪,Powerhouse
創り,Create
制覇,Domination
弁論,argument
典子,Noriko
天性,nature
送り込め,Okurikome
食らわ,Kurawa
全室,all rooms
縫い合わせ,Stitched
義手,Artificial arm
ヤア,Hi there
できあが,Dekiaga
母乳,Mother's milk
作り手,Maker
中性,neutral
神戸,Kobe
アントニー,Antony
張り切,Hariki
大柄,Large build
水夫,Sailor
博美,Hiromi
心情,Mentality
生まれ変わり,Reincarnation
会得,Comprehension
アーチスト,artist
良江,Yoshie
シーア,Shia
大盛り,Large serving
基幹,Key
主席,Chief
所業,Doings
プレミア,Premiere
持ち逃げ,Abscond
親方,master
半殺し,Half-killed
稟議,Approval
唱歌,Song
エンジニアリング,engineering
火遊び,Playing with fire
台北,Taipei
相乗り,Riding together
オーレーリア,Oreria
調印,Sign
大公,Archduke
只要,Drifting
常套,Conventional
於け,Orchestra
バイアグラ,Viagra
号外,Newspaper extra
堀田,Hotta
催促,Reminder
消え失せ,Vanished
ルシア,Lucia
呼び止め,Hailed
筋金,Sujigane
上階,The upper floor
本職,professional
前置き,Preface
真後ろ,Right behind
根回し,Making necessary arrangements
先例,precedent
敵視,Looking on as hostile
脇線,Side line
五千,Five thousand
小心,Cowardly
石板,Slate
あたい,Price
再編成,reorganization
不敵,fearless
風向き,Wind direction
人出,Crowd
後ろ盾,Backing
皆殺,Everyone killing
戸締まり,Lock the door
寝取,Neto
出鱈目,random
モリアーティー,Moriarty
スピアーズ,Spears
新手,Newcomer
ギリアム,Gilliam
大鹿,Oshika
奮起,Rouse
繰り広げ,Waged
性悪女,Wicked woman
アイゼンハワー,Eisenhower
検体,Specimen
気球,balloon
物忘れ,Memory loss
ハワイアン,Hawaiian
工面,Kumen
断然,Definitely
結界,Barrier
二百,Two hundred
各種,Various
達し,Reached
取り立て,Collection
アルカリ,alkali
シンクレア,Sinclair
急変,Sudden change
塚本,Tsukamoto
宛先,destination
りゃあ,Ryaa
ヒアリング,Hearing
新設,Newly established
術師,Surgical nurses
オリアンダー,Cage under
しあわせ,happy
戦火,war
見開,Spread
風貌,Appearance
あたえ,Giving
金物,hardware
合点,Consent
見付かっ,Found
吹き消,Blowing consumption
抑止,Suppression
館長,Director
特攻,Suicide attack
注視,Gaze
矢代,Yashiro
衣料,Clothing
草地,Grassland
不可避,unavoidable
会費,Membership fee
際限,Limit
構う,Care about
指し,It refers to
剣術,Fencing
焼け死,Burned death
生気,Animation
たあ,Taha
発祥,Birthplace
言い当て,Guessed
荷車,cart
背面,back
チェア,chair
え～,Eh
可視,Visibility
食後,After a meal
一人ひとり,Each and every
敬語,Honorific
名高,Nadaka
接地,ground
聞き逃,Listen escape
アプリケーション,application
運勢,fortune
手懐け,Tenazuke
一役,Play a role
芸者,geisha
言い草,Remark
ワイア,Wire
口添え,Good word
年鑑,Yearbook
二の次,Secondary
空砲,Blank shot
根元,root
マルコア,Marukoa
決算,Settlement of accounts
西経,West longitude
便座,toilet seat
乗艦,Joining one's warship
黙認,Connivance
定着,The fixing
暗視,Night vision
感じ取れ,Kanjitore
異種,Different
解せ,Hoguse
小汚,Kogitana
金沢,Kanazawa
言い直,Said straight
糞女,Bloody bitch
死守,Defend
達二人,Tatsuji people
触れ合,Touch case
幸せ者,a happy person
来週末,Next weekend
野暮,Boorishness
愚者,A fool
子持ち,Whirlpool
軽量,lightweight
積み込め,Tsumikome
平日,Weekday
戒律,Buddhist precepts
手綱,reins
有り難,Thankfully
先陣,Vanguard
比例,Proportion
不向き,unsuitable
♬～,♬ ~
アッティラ,Attila
防音,Soundproof
アビィ,Abbey
適所,Proper place
名作,Masterpiece
物静か,Quiet
改名,Name change
マーゴットアル,Magottoaru
能否,Nohi
俗物,Vulgar person
話かけ,Talk over
小沼,Onuma
家宝,Heirloom
数珠,Rosary
水筒,Water bottle
アダル,Adal
金槌,hammer
行く末,Fate
木こり,Lumberjack
故人,deceased
気密,Airtight
自責,Self-condemnation
通帳,passbook
決裂,Breakdown
信義,Faith
油井,Oil well
アイバン,Ivan
最古,Most ancient
焼死,Burned to death
アトラクション,Attraction
後期,Latter period
痛々し,Itaitashi
戸口,doorway
単身,Alone
アブラハム,Abraham
自叙,Self-ordination
クリアランス,clearance
通風,ventilation
入港,Entry into port
ヤル気,Dial care
大暴れ,Rampage
入植,Settlement
離せよ,Hanaseyo
吟味,Scrutiny
老女,Old woman
あたかも,If they were
殴り合,Beating case
敵艦,Enemy ship
欠場,Miss
行き来,Coming and going
将官,general
受容,Reception
有給,Salaried
定数,constant
独善,Self-righteousness
婚前,Prenuptial
京子,Kyoko
湘南,Shonan
語れ,Talk about
症例,Cases
投げ飛ば,Fly throwing
存命,Alive
問いただ,Question only
変電,Substation
あえぎ声,Gasping voice
極楽,Paradise
血族,Blood relative
アンコール,Encore
心身,Mind and body
結び目,knot
考え事,thinking
同時刻,Same time
卒論,Graduation thesis
検閲,censorship
決壊,Outburst
ただ中,The midst
右目,right eye
向こう岸,Opposite bank
主砲,Main armament
フォアグラ,Foie gras
完結,Completion
リヴァイアサン,Leviathan
買物,shopping
大司教,Archbishop
由紀子,Yukiko
寛解,Remission
書置き,Kakioki
同社,The company
アタ,Ata
州法,State Law
聞き取り,Listening comprehension
忍野,Oshino
模造,imitation
杉原,Sugihara
持論,Mantra
特効,Slayer
他殺,murder
働き者,Hard worker
士事,Shigoto
全校,Whole school
白鯨,White whale
失速,stall
鍛治,Kaji
開設,Opening
年数,Number of years
前座,Opening performance
果樹,Fruit tree
一人娘,only daughter
引っ越せ,Hikkose
登記,registration
内耳,inner ear
レアック,Reakku
投函,posting
実例,Illustration
義眼,Artificial eye
古来,Ancient times
アティカス,Atticus
アクシデント,accident
条理,Jori
アーニャ,Anya
受けと,O received
積み荷,A cargo
文河,Bunkawa
有刺,Barbed
行き場,Nowhere to go
方止め,Square stop
多重,Multiple
対向,Counter
臣民,Subjects
アンクル,Uncle
要说,Main theory
進撃,attack
裏表,Both sides
海馬,Hippocampus
静観,Watchful waiting
東方,Orient
進み出,Stepped forward
件数,number
棄権,Abstained
心電,Electrocardiograph
黒曜,Black Sunday
不作法,Bad manners
詐称,Misrepresentation
海運,Shipping
補欠,Filling a vacancy
伝送,transmission
熟女,Mature
前歯,Front tooth
号泣,Wailing
チェコスロバキア,Czechoslovakia
落とし前,Otoshimae
解錠,Unlock
内情,Internal conditions
一人息子,Only son
逐一,One by one
金輪際,Till doomsday
牧子,Makiko
あば,Awa
福,Good fortune
アバロン,Avalon
拾い上げ,Picking up
アディレス,Adiresu
配れ,Kubare
法外,Exorbitant
外泊,A sleepover
流れ着,Flow deposition
作ら,Made
廃人,Cripple
平らげ,Ate
無心,Innocent
先走,Sakibashi
アムール,Amur
新間,New between
ニュニアス,Nyuniasu
名答,Correct answer
立ち退,Eviction
鉄筋,Rebar
定規,ruler
前部,front
整頓,Orderliness
塩分,salt
千,thousand
最長,The longest
廃業,Going out of business
アリオ,Ario
親睦,Friendship
近し,Chikashi
食人,Cannibalism
満場,Unanimous
母体,Mother
先物,futures
ヒ素,Arsenic
予め,In advance
論外,out of the question
アレクサンドル,Alexandre
王手,Checkmate
良質,Good quality
あっけな,Akkena
取り外せ,Be removed
野蛮人,Barbarian
余程,To a great extent
疎外,Estrangement
戦前,Prewar days
清らか,Clean
探究,Inquiry
縄張りだ,It turf
日月,Sun Moon
線香,Incense stick
ルアー,Lure
戦況,War situation
二一,Twenty-one
撃ち合,Shooting case
口臭,bad breath
代数,algebra
アパレル,apparel
突き動か,Move against
逃げ足,To run away
円周,Circumference
親しみ,Approachable
織物,fabric
目新し,Novelty
敬具,Best regards
隣り合わせ,Side-by-side
知力,Intellect
金鉱,gold mine
投合,Togo
獄中,During imprisonment
蛇口,faucet
防壁,Protective wall
常々,Always
アナログ,analog
尺度,Scale
アーケード,arcade
大田,Ota
名残,Remains
言い合い,Quarrel
酷評,Severe criticism
裏通り,Alley
悪運,bad luck
アプトン,Upton
曲名,Song Title
共学,Coed
大洋,Taiyo
不用,Waste
自習,Self-study
毎週末,every weekend
無援,Muen
声帯,Vocal chords
冥王,Hades
念動,Telekinetic
連打,Barrage
身軽,Nimble
宮入り,Miya filled
自負,Conceit
本望,Long-cherished ambition
組成,composition
中指,middle finger
戦績,KOs
アルミニウム,aluminum
壊死,Necrosis
菌類,Fungus
餃子,Gyoza
アス,Ass
殺しあ,Koroshia
機影,Sight of an airplane
貴公,Climate
金欠,Running out of money
帰路,Way back
長々,long
一大,One large
実演,Demonstration
浸食,erosion
敗戦,defeat
近郊,Suburbs
若気,Wakage
工房,Workshop
ウジョア,Ujoa
編入,Incorporation
朝刊,Morning newspaper
いたる所,Everywhere
西岸,West coast
デラウアー,Deraua
音色,Timbre
真っ向,Sperm
一々,One by one
榎木,Enoki
テルアビブ,Tel Aviv
策謀,Machination
猿王,Monkey King
地底,Underground
取り消せ,Undone
釣り上げ,Caught
流れ星,shooting star
乗り回,Ride times
持て余,Yuyao able to have
市議会,City council
演唱,Concert
園子,Sonoko
蛋白,Protein
沢田,Sawada
中核,core
樹立,Established
変えれ,Changing
腹立,Belly standing
生来,Innate
じゃあ―,Well -
爪先,Tiptoe
能無し,Incompetence
他社,Other company
安達,Adachi
アダルト,Adult
観れ,It is watching
かき消,Oyster consumption
モアブ,Moab
第一,first
加重,Weighting
真似事,Mockery
力づく,Brute force
対人,Interpersonal
譜面,Music
都内,Metropolitan area
物色,Ransacked
恒久,permanent
忽然,忽然
アトロピン,Atropine
舞い降り,Descended
アディオス,Carton
空席,Vacancy
残党,Remnants
アルウェン,Arwen
石頭,Inflexible person
品行,Conduct
血小,Blood Small
級友,Classmate
追手,Pursuer
仕分け,Assortment
ん〜,Hmm~
営倉,Guardhouse
原本,original
領空,Airspace
成せ,Do what
白川,Shirakawa
立会,Witness
区分,Classification
さしあたり,For the moment
ファイアント,Defiant
一起,Kazuki
義輝,Yoshiteru
星章,Seisho
水位,Water level
引受け,Underwriting
一端,one end
両面,Both sides
行き当たり,Per go
あくび,Yawn
演繹,Deductive reasoning
製材,Lumber
論説,Editorial
新月,New Moon
創り上げ,Up created
エアロ,Aero
分かっ,Found
微小,Microscopic
眉間,Brow
きゃあ,"Again suddenly,"
残り物,leftovers
何せ,At any rate
大海,ocean
転げ落ち,It tumbled down
換金,Cash
飛来,Come flying
化物,monster
帰投,The return
バリアー,barrier
調味,seasoning
疾風,Gale
部活,Extracurricular activity
対談,Talk
湿地帯,Wetlands
小動,Shodo
还能,还能
年々,Year by year
大空,Firmament
蜂起,Uprising
霊的,spiritual
愛用,Favorite
風車,Windmill
江戸,Edo
酌量,Shakuryo
見聞き,See and hear
中手,Metacarpus
細身,Slender
アスパラガス,Asparagus
即応,Readiness
無欠,Integrity
大藪,Oyabu
休眠,Dormant
書き上げ,Wrote
子ブタ,Piglets
機転,Quick-witted
アマリヤ,Amariah
大きめ,Larger
内線,Extension line
至上,Supremacy
食塩,Table salt
奈美,Nami
思い入れ,Feelings
両太,RyoFutoshi
暴挙,Violence
引火,Catching fire
肌身,Hadami
原田,Harada
アンペア,Ampere
アフザル,Afuzaru
慰安,comfort
アバナシー,Abernathy
高給,High salary
旅立ち,Setting off
表皮,Skin
一座,Troupe
課外,Extracurricular
創出,Creation
あわ,Awa
上方,Upward
突っ立て,Tsuttate
引き合い,Witness
消えかけ,Over disappeared
色素,Pigment
あし,Legs
配合,Combination
持病,Chronic disease
アキノ,Aquino
岩盤,bedrock
陣取,Jindo
スカンジナビア,Scandinavia
死せ,Cisse
一段,One step
難航,Difficulties
高望み,Takanozomi
根気,Patience
戸越,Togoshi
寝言,Nonsense
大理,Dali
廃屋,Deserted house
筆記,Scribe
ウィドモア,Widomoa
不実,Faithlessness
初恋,First love
局所,local
アナトリー,Anatoly
帝光,Emperor light
早送り,Fast forward
定ま,Sadama
ボリビア,Bolivia
博覧,Exposition
店内,Store
防具,Armor
ホイアン,Hoi An
旧約,Old Testament
エアフォース,Air force
時分,Hour
活,Active
ラクビアン,Rakubian
光り,Light
アカトラ,Akatora
無性,Asexual
夜会,Evening party
短波,Short wave
取り計ら,Take meter et al.
日食,Solar eclipse
意表,Surprise
好戦,Militant
足かせ,Shackle
アイク,Ike
念願,Heart's desire
仕事柄,For work
愚行,folly
手話,sign language
面積,area
引当,Provision
尊師,Guru
各所,Various places
起点,Starting point
カシアン,Kashian
只中,In the midst
騒ぎ立て,Fuss
護民官,Tribune
数多く,Many
習性,Trait
あれっ,Are'
一網,One network
捜し物,Sagashimono
不幸せ,Unhappiness
直属,Direct supervision
肝門部,Hepatic portal section
消臭,deodorize
参政,Participation in government
乱入,Trespassing
右上,The upper right
語彙,vocabulary
後手,Iron
今期,Present term
レスビアン,lesbian
母音,vowel
帯域,Zone
取り組み,Efforts
激情,Passion
ブエノスアイレス,Buenos Aires
突発,Outbreak
頑張れ,Hang in there
戦犯,War criminal
大名,Daimyo
威信,The prestige
旧知,Old friend
普及,Spread
大それた,Large it was
予兆,omen
あーら,Ara
下等,Inferior
競り合い,Bidding
転嫁,Imputation
仰天,Astound
は～い,The hoo
送り込み,Infeed
親善,Friendship
扇風,Fan wind
茶屋,Teahouse
共々,together
星之,Noriyuki star
分かち合え,Ae share
レノア,Lenoir
炭水,Sumisui
願書,Application forms
最早,Now
横暴,Tyranny
羽田,Haneda
取り持,Take equity
